date,actual,y,pred,q67_raw,q67_conformal
2010-05-15,5.0,9.0,10.265634667071708,12.004315291427323,13.968199490860943
2010-05-16,4.0,14.0,13.056993215155538,14.192683908583657,16.15656810801728
2010-05-17,10.0,13.0,16.553001261100224,17.955002240739777,19.9188864401734
2010-05-18,3.0,8.0,17.42874278374727,17.199893157205967,19.16377735663959
2010-05-19,5.0,21.0,16.334537609042528,18.1974781576631,20.16136235709672
2010-05-20,16.0,27.0,16.0123373649094,15.679082780663478,17.6429669800971
2010-05-21,11.0,16.0,15.477099397190617,16.013975008698708,17.97785920813233
2010-05-22,5.0,11.0,10.750601843566152,11.944922022501352,13.908806221934972
2010-05-23,6.0,10.0,12.262306701646663,13.240079247462218,15.203963446895838
2010-05-24,4.0,12.0,13.697837630929586,14.710048622555991,16.673932821989613
2010-05-25,8.0,16.0,15.688276558056746,15.790522388160001,17.75440658759362
2010-05-26,8.0,18.0,17.232071665139078,17.74357092982373,19.70745512925735
2010-05-27,10.0,20.0,17.416892014603704,18.780482988909487,20.74436718834311
2010-05-28,10.0,12.0,15.005741176339036,16.12789755769096,18.091781757124583
2010-05-29,2.0,9.0,10.535045200120626,11.641637517316369,13.605521716749989
2010-05-30,7.0,19.0,12.648999956793002,14.255717814691545,16.219602014125165
2010-05-31,12.0,24.0,16.774510413761078,17.01279712498765,18.97668132442127
2010-06-01,12.0,26.0,17.644710640829423,17.09937549686907,19.06325969630269
2010-06-02,14.0,21.0,17.893594570882087,17.0468382851522,19.010722484585823
2010-06-03,7.0,17.0,18.4884002860167,18.019893624320652,19.983777823754274
2010-06-04,10.0,17.0,15.265186026311397,16.977813901923046,18.941698101356668
2010-06-05,7.0,11.0,11.05425995798111,14.551916771780139,16.51580097121376
2010-06-06,4.0,10.0,14.122932770585248,17.14771270481989,19.111596904253513
2010-06-07,6.0,19.0,17.352314528740884,19.60635995751077,21.57024415694439
2010-06-08,13.0,25.0,17.201840201552304,18.522537265644285,20.486421465077907
2010-06-09,12.0,22.0,18.016412035682997,18.09724134128001,20.061125540713633
2010-06-10,10.0,20.0,17.786408282669374,17.570935041736664,19.534819241170286
2010-06-11,10.0,13.0,15.464509194234447,16.077302850729236,18.041187050162858
2010-06-12,3.0,12.0,11.010543576075753,12.969150194343783,14.671740253083343
2010-06-13,9.0,21.0,13.32607586540509,14.394219837697385,16.096809896436945
2010-06-14,12.0,25.0,18.002886788302735,18.06028112550251,19.76287118424207
2010-06-15,13.0,21.0,18.66700013707135,18.268750633268144,19.971340692007704
2010-06-16,8.0,17.0,18.772205962703858,17.776615415460935,19.479205474200494
2010-06-17,9.0,17.0,18.21082419015015,17.420547504459115,19.123137563198675
2010-06-18,8.0,13.0,15.574464254280036,16.276784551414387,17.979374610153947
2010-06-19,5.0,7.0,10.869702825972368,14.047892709361415,15.750482768100975
2010-06-20,2.0,12.0,13.825281499275976,14.839970082307657,16.542560141047215
2010-06-21,10.0,21.0,16.981249378616564,17.900054133088624,19.602644191828183
2010-06-22,11.0,17.0,17.655337320731014,18.43548958476445,20.13807964350401
2010-06-23,6.0,12.0,17.64056165157144,17.044445729045318,18.747035787784878
2010-06-24,6.0,12.0,17.211772360362374,17.338826924331233,19.041416983070793
2010-06-25,6.0,14.0,14.455235987985501,14.569967498351376,16.272557557090934
2010-06-26,8.0,11.0,10.012792687245854,12.20669866525744,13.909288723997
2010-06-27,3.0,10.0,13.33476947913498,14.251043658750598,15.953633717490158
2010-06-28,7.0,12.0,16.697830517139444,18.8085039284412,20.51109398718076
2010-06-29,5.0,23.0,16.91715173889048,16.983291446036375,18.685881504775935
2010-06-30,18.0,24.0,16.386216246771244,16.581773689847154,18.284363748586713
2010-07-01,6.0,19.0,18.389485389634515,17.909815902350214,19.612405961089774
2010-07-02,13.0,23.0,14.59702986445039,17.88977972868141,19.59236978742097
2010-07-03,10.0,18.0,11.077441925036993,12.560800612998696,14.263390671738255
2010-07-04,8.0,13.0,14.059441890965306,15.998924971320408,17.701515030059966
2010-07-05,5.0,11.0,18.041328624440485,18.782296106127184,20.484886164866744
2010-07-06,6.0,19.0,17.627087497523426,20.203843462431166,21.906433521170726
2010-07-07,13.0,20.0,17.787971036144892,19.783868941021538,21.486458999761098
2010-07-08,7.0,21.0,18.38013981454379,17.96742539978413,19.67001545852369
2010-07-09,14.0,16.0,15.189769992467692,16.636237822807814,18.338827881547374
